Id,Fipe,Marca,Modelo,Valor,Ano Fabricacao,Ano Modelo,KM,Transmissao,Cor,Versao,Cidade,Tipo Vendedor,Link
39710884,103,VOLKSWAGEN,POLO,69900,2018,2019,34500,Manual,Branco,1.6 MSI TOTAL FLEX MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/VOLKSWAGEN/POLO/1.6-MSI-TOTAL-FLEX-MANUAL/4-portas/2018-2019/39710884
39997772,117,VOLKSWAGEN,JETTA,84900,2014,2014,115475,Automática,Branco,2.0 TSI HIGHLINE 211CV GASOLINA 4P TIPTRONIC,Balneário Camboriú,PJ,https://www.webmotors.com.br/comprar/VOLKSWAGEN/JETTA/2.0-TSI-HIGHLINE-211CV-GASOLINA-4P-TIPTRONIC/4-portas/2014-2014/39997772
39711254,96,CHEVROLET,CRUZE,64900,2014,2015,87000,Automática,Branco,1.8 LT 16V FLEX 4P AUTOMATICO,São José,PJ,https://www.webmotors.com.br/comprar/CHEVROLET/CRUZE/1.8-LT-16V-FLEX-4P-AUTOMATICO/4-portas/2014-2015/39711254
39711256,108,FORD,KA,43900,2015,2016,68138,Manual,Branco,1.0 TI-VCT FLEX SE MANUAL,São José,PJ,https://www.webmotors.com.br/comprar/FORD/KA/1.0-TI-VCT-FLEX-SE-MANUAL/4-portas/2015-2016/39711256
36844122,102,HYUNDAI,SONATA,65000,2011,2012,88000,Automática,Preto,2.4 MPFI I4 16V 182CV GASOLINA 4P AUTOMATICO,Balneário Camboriú,PF,https://www.webmotors.com.br/comprar/HYUNDAI/SONATA/2.4-MPFI-I4-16V-182CV-GASOLINA-4P-AUTOMATICO/0-portas/2011-2012/36844122
39137859,107,VOLKSWAGEN,GOL,45900,2017,2017,49850,Manual,Prata,1.0 12V MPI TOTALFLEX TRENDLINE 4P MANUAL,São João Batista,PJ,https://www.webmotors.com.br/comprar/VOLKSWAGEN/GOL/1.0-12V-MPI-TOTALFLEX-TRENDLINE-4P-MANUAL/3-portas/2017-2017/39137859
39424610,106,CHEVROLET,PRISMA,56900,2019,2019,54000,Manual,Branco,1.0 MPFI JOY 8V FLEX 4P MANUAL,Brusque,PJ,https://www.webmotors.com.br/comprar/CHEVROLET/PRISMA/1.0-MPFI-JOY-8V-FLEX-4P-MANUAL/4-portas/2019-2019/39424610
39137915,115,RENAULT,SANDERO,47900,2017,2018,70751,Manual,Branco,1.0 12V SCE FLEX AUTHENTIQUE MANUAL,Blumenau,PJ,https://www.webmotors.com.br/comprar/RENAULT/SANDERO/1.0-12V-SCE-FLEX-AUTHENTIQUE-MANUAL/4-portas/2017-2018/39137915
39424750,111,FORD,KA,52900,2017,2018,38065,Manual,Branco,1.5 SIGMA FLEX SE PLUS MANUAL,Brusque,PJ,https://www.webmotors.com.br/comprar/FORD/KA/1.5-SIGMA-FLEX-SE-PLUS-MANUAL/4-portas/2017-2018/39424750
39138108,105,HYUNDAI,HB20S,54900,2013,2014,76186,Manual,Branco,1.6 PREMIUM 16V FLEX 4P AUTOMATICO,Gaspar,PJ,https://www.webmotors.com.br/comprar/HYUNDAI/HB20S/1.6-PREMIUM-16V-FLEX-4P-AUTOMATICO/4-portas/2013-2014/39138108
